Title,Authors,Book_cover,Year,Price($),Reviews,Ratings
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,Paperback,2010,16.76,4966,4.7
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,Hardcover,2010,10.81,527,4.4
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,Hardcover,2010,15.49,8299,4.5
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,Hardcover,2010,14.35,9718,4.7
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,Paperback,2010,36.32,2085,4.7
Little Bee: A Novel,Chris Cleave,Paperback,2010,9.94,3654,4.2
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,Hardcover,2010,18.29,1525,4.7
George Washington's Sacred Fire,Peter A. Lillback,Paperback,2010,3.0,644,4.6
Radical: Taking Back Your Faith from the American Dream,David Platt,Paperback,2010,9.36,3270,4.7
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,Hardcover,2010,21.22,14254,4.8
Sarah's Key,Tatiana de Rosnay,Paperback,2010,10.25,11119,4.5
The Hunger Games,Suzanne Collins,Hardcover,2010,12.79,80772,4.7
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,Paperback,2010,23.49,1762.0,4.6
Cleopatra: A Life,Stacy Schiff,Hardcover,2010,11.42,2277,4.2
Freedom: A Novel,Jonathan Franzen,Hardcover,2010,17.0,5793,4.2
Freedom,Jonathan Franzen,Hardcover,2010,13.51,5793,4.2
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,Hardcover,2010,19.79,23860,4.7
Fall of Giants (The Century Trilogy),Ken Follett,Hardcover,2010,20.9,50680,4.4
"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,Paperback,2010,15.99,15217,4.4
"Eat Pray Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,Paperback,2010,13.31,15217,4.4
Tao I: The Way of All Life,Zhi Gang Sha Dr.,Hardcover,2010,14.82,96.0,4.4
The Checklist Manifesto: How to Get Things Right,Atul Gawande,Hardcover,2010,29.53,13082,4.5
Chelsea Chelsea Bang Bang,Chelsea Handler,Hardcover,2010,11.0,1526,4.4
Let the Great World Spin: A Novel,Colum McCann,Paperback,2010,9.99,3645,4.3
