,Ranks,Title,Authors,Book_cover,Price,Reviews,Ratings,Year
691,96,A Long Walk to Water: Based on a True Story,Linda Sue Park,Paperback,7.00,"23,694",4.7,2015
692,97,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,Mass Market Paperback,34.39,"51,194",4.7,2015
693,98,Rogue Lawyer: A Novel,John Grisham,Hardcover,14.41,"63,235",4.0,2015
694,99,Detailed Designs and Beautiful Patterns (Sacred Mandala Designs and Patterns Coloring Books for Adults),Lilt Kids Coloring Books,Paperback,5.87,"1,069",4.5,2015
695,100,Lord of the Flies,William Golding,Mass Market Paperback,5.79,"45,608",4.5,2015
696,1,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,Hardcover,13.50,"101,749",4.3,2016
697,2,StrengthsFinder 2.0,,Hardcover,20.96,Gallup,4.1,2016
698,3,First 100 Words: A Padded Board Book,Roger Priddy,Board book,4.78,"37,028",4.7,2016
699,4,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,,Hardcover,8.89,Marie Kondō,4.5,2016
700,5,"Oh, the Places You'll Go!  ",Dr. Seuss,Hardcover,7.49,"48,018",4.9,2016
701,6,Diary of a Wimpy Kid #11: Double Down,Jeff Kinney,Hardcover,15.10,"28,303",4.7,2016
702,7,When Breath Becomes Air,Paul Kalanithi,Hardcover,17.34,"99,693",4.7,2016
703,8,Giraffes Can't Dance (Board Book),,Board book,5.94,Giles Andreae,4.8,2016
704,9,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,Paperback,8.39,"89,689",4.8,2016
705,10,The Whole30: The 30-Day Guide to Total Health and Food Freedom,,Hardcover,16.26,Melissa Hartwig Urban,4.6,2016
706,11,A Man Called Ove: A Novel,Fredrik Backman,Paperback,10.93,"186,099",4.6,2016
707,12,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,Hardcover,19.36,"21,296",4.6,2016
708,13,How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,Paperback,10.30,"111,867",4.7,2016
709,14,The Magnolia Story,Chip Gaines,Hardcover,11.96,"21,906",4.7,2016
710,15,Laugh-Out-Loud Jokes for Kids,Rob Elliott,Paperback,4.99,"11,768",4.6,2016
711,16,To Kill a Mockingbird,Harper Lee,Mass Market Paperback,21.18,"130,576",4.7,2016
712,17,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,Hardcover,13.17,"95,582",4.3,2016
713,18,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,Hardcover,13.39,"15,135",4.6,2016
714,19,Hamilton: The Revolution,Lin-Manuel Miranda,Hardcover,26.13,"14,251",4.9,2016
715,20,The Girl on the Train,Paula Hawkins,Paperback,10.33,"492,065",4.1,2016
716,21,Mindset: The New Psychology of Success,,Paperback,11.66,Carol S. S. Dweck,4.6,2016
717,22,"The Official SAT Study Guide, 2016 Edition",The College Board,Paperback,,"1,119",4.4,2016
718,23,,,Paperback,8.99,"3,156",4.5,2016
719,24,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Paperback,7.74,"107,936",4.7,2016
720,25,Milk and Honey,Rupi Kaur,Paperback,7.83,"60,311",4.7,2016
721,26,The Going To Bed Book,Sandra Boynton,Board book,3.97,"17,461",4.8,2016
722,27,Born to Run,Bruce Springsteen,Hardcover,16.99,"12,964",4.6,2016
723,28,Alexander Hamilton,Ron Chernow,Paperback,12.64,"31,809",4.7,2016
724,29,The Very Hungry Caterpillar,Eric Carle,Board book,5.57,"59,818",4.9,2016
725,30,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,Paperback,19.55,"9,404",4.7,2016
726,31,The Constitution of the United States,,Pamphlet,1.50,Delegates of the Constitutional Convention,4.9,2016
727,32,Wonder,R. J. Palacio,Hardcover,9.40,"83,305",4.7,2016
728,33,The Wonderful Things You Will Be,Emily Winfield Martin,Hardcover,9.40,"28,445",4.9,2016
729,34,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,Paperback,8.89,"45,561",4.7,2016
730,35,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),,Hardcover,22.99,Thug Kitchen,4.6,2016
731,36,Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,,Paperback,,Scholastic,4.7,2016
732,37,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,Paperback,12.49,"12,968",4.5,2016
733,38,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,Hardcover,15.69,"11,138",4.7,2016
734,39,Between the World and Me,Ta-Nehisi Coates,Hardcover,13.59,"39,076",4.6,2016
735,40,Calm the F*ck Down: An Irreverent Adult Coloring Book,Sasha O'Hara,Paperback,6.14,"21,342",4.6,2016
736,41,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,Board book,5.00,"28,319",4.9,2016
737,42,"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",Sarah Young,Hardcover,8.89,"43,000",4.9,2016
738,43,Night (Night),Elie Wiesel,Paperback,6.27,"20,173",4.7,2016
739,,,,,,,,2016
740,45,Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,Paperback,45.44,"112,378",4.9,2016
741,46,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,Hardcover,21.34,"25,676",4.9,2016
742,47,10-Day Green Smoothie Cleanse,JJ Smith,Paperback,9.89,"37,676",4.7,2016
743,48,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,Paperback,10.49,"11,660",4.7,2016
744,49,The Nightingale: A Novel,Kristin Hannah,Hardcover,15.73,"284,246",4.7,2016
745,50,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2) (2)",J. K. Rowling,Hardcover,23.63,"14,694",4.9,2016
746,51,Fahrenheit 451,Ray Bradbury,Paperback,8.36,"48,397",4.6,2016
